latitude,longitude,rainfall_1h_mm,rainfall_3h_mm,rainfall_6h_mm,rainfall_12h_mm,rainfall_24h_mm,flood_overlap_fraction,flood_label,event_id,date,label_source
24.05,86.35,0.2799999937415123,0.9849999845027924,1.354999989271164,10.494999699294569,21.684999365359545,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,86.45,0.7399999499320984,1.7299998998641968,2.1099998876452446,12.609999736770988,25.754999313503504,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,86.549995,0.6649999767541885,1.4999999552965164,1.8299999525770545,15.324999689124525,19.634999569505453,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,86.65,0.7349999845027924,1.2899999618530271,1.3049999615177512,14.689999460242689,17.90499935299158,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,86.75,0.8349999785423279,1.6249999701976776,1.8249999629333613,8.969999787397683,10.90499973949045,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,86.85,0.044999998062849,0.2449999861419201,0.8299999795854092,6.034999826923013,8.94999973475933,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,86.95,0.0,0.2049999982118606,1.209999963641167,6.199999798089266,9.509999765083194,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,87.049995,0.0,0.5049999952316284,2.644999906420708,8.999999642372131,10.959999565966427,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,87.15,0.1550000002607703,2.714999913237989,6.329999758861959,11.434999688528478,13.449999649077654,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,87.25,0.6599999815225601,3.3599999397993088,8.059999898076057,19.37999974936247,21.64499969035387,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,87.35,1.7199999690055847,6.644999861717224,10.009999722242355,24.244999177753925,27.749999126419425,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,87.45,1.4300000071525574,5.749999940395355,9.694999903440475,30.48999941349029,33.77999931015074,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,87.549995,0.8199999928474426,2.379999965429306,5.9649997651577,25.77999926358461,28.83499917853624,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,87.65,0.6949999779462814,1.8549999445676804,4.039999887347221,19.259999357163903,22.674999248236418,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,87.75,0.5199999809265137,1.1699999645352364,4.359999872744083,22.58499949425459,25.7099993750453,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,87.85,0.6799999624490738,0.7099999617785215,1.9799999352544544,13.389999872073531,16.29499981366098,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,87.95,0.5399999842047691,0.5399999842047691,1.4849999602884054,9.144999584183097,11.979999518953264,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,88.049995,0.5949999988079071,0.9949999824166298,1.944999985396862,9.39499982446432,13.554999706335366,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,88.15,1.3649999797344208,2.1999999657273293,2.7899999544024467,6.964999862015247,11.134999711997809,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,88.25,0.9199999570846558,1.704999938607216,2.6949999146163464,6.749999835155904,11.34999982919544,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,88.35,0.8249999582767487,1.614999920129776,2.794999897480011,5.959999829530716,10.929999709129332,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,88.45,0.7749999761581421,1.289999946951866,1.7399999294430015,4.234999851323664,9.659999643452466,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.15,83.049995,0.0,0.0,0.0199999995529651,7.664999920874834,11.519999798387287,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.15,83.15,0.0,0.0,0.0149999996647238,4.794999896548688,7.989999814890325,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
